Date,Sell Price,Mayor_Aatrox,Mayor_Cole,Mayor_Diana,Mayor_Diaz,Mayor_Jerry,Mayor_Marina,Mayor_Paul,Price_Change_Percent
2025-09-21 11:00:00,631.5,0,0,0,0,0,0,1,-0.02
2025-09-21 12:00:00,632.0,0,0,0,0,0,0,1,0.08
2025-09-21 13:00:00,643.8,0,0,0,0,0,0,1,1.87
2025-09-21 14:00:00,646.1,0,0,0,0,0,0,1,0.36
2025-09-21 15:00:00,648.1,0,0,0,0,0,0,1,0.31
2025-09-21 16:00:00,650.2,0,0,0,0,0,0,1,0.32
2025-09-21 17:00:00,656.0,0,0,0,0,0,0,1,0.89
2025-09-21 18:00:00,653.6,0,0,0,0,0,0,1,-0.37
2025-09-21 19:00:00,654.4,0,0,0,0,0,0,1,0.12
2025-09-21 20:00:00,653.6,0,0,0,0,0,0,1,-0.12
2025-09-21 21:00:00,658.5,0,0,0,0,0,0,1,0.75
2025-09-21 22:00:00,656.5,0,0,0,0,0,0,1,-0.3
2025-09-21 23:00:00,655.6,0,0,0,0,0,0,1,-0.14
2025-09-22 00:00:00,649.0,0,0,0,0,0,0,1,-1.01
2025-09-22 01:00:00,649.2,0,0,0,0,0,0,1,0.03
2025-09-22 02:00:00,632.9,0,0,0,0,0,0,1,-2.51
2025-09-22 03:00:00,633.5,0,0,0,0,0,0,1,0.09
2025-09-22 04:00:00,634.0,0,0,0,0,0,0,1,0.08
2025-09-22 05:00:00,633.7,0,0,0,0,0,0,1,-0.05
2025-09-22 06:00:00,633.9,0,0,0,0,0,0,1,0.03
2025-09-22 07:00:00,634.3,0,0,0,0,0,0,1,0.06
2025-09-22 08:00:00,634.4,0,0,0,0,0,0,1,0.02
2025-09-22 09:00:00,634.1,0,0,0,0,0,0,1,-0.05
2025-09-22 10:00:00,634.4,0,0,0,0,0,0,1,0.05
2025-09-22 11:00:00,634.2,0,0,0,0,0,0,1,-0.03
2025-09-22 12:00:00,634.1,0,0,0,0,0,0,1,-0.02
2025-09-22 13:00:00,634.3,0,0,0,0,0,0,1,0.03
2025-09-22 14:00:00,633.6,0,0,0,0,0,0,1,-0.11
2025-09-22 15:00:00,670.0,0,0,0,0,0,0,1,5.74
2025-09-22 16:00:00,636.2,0,0,0,0,0,0,1,-5.04
2025-09-22 17:00:00,635.9,0,0,0,0,0,0,1,-0.05
2025-09-22 18:00:00,637.1,0,0,0,0,0,0,1,0.19
2025-09-22 19:00:00,638.0,0,0,0,0,0,0,1,0.14
2025-09-22 20:00:00,639.0,0,0,0,0,0,0,1,0.16
2025-09-22 21:00:00,638.6,0,0,0,0,0,0,1,-0.06
2025-09-22 22:00:00,639.0,0,0,0,0,0,0,1,0.06
2025-09-22 23:00:00,638.5,0,0,0,0,0,0,1,-0.08
2025-09-23 00:00:00,637.1,0,1,0,0,0,0,0,-0.22
2025-09-23 01:00:00,635.7,0,1,0,0,0,0,0,-0.22
2025-09-23 02:00:00,635.6,0,1,0,0,0,0,0,-0.02
2025-09-23 03:00:00,631.6,0,1,0,0,0,0,0,-0.63
2025-09-23 04:00:00,631.7,0,1,0,0,0,0,0,0.02
